index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
2026,California,2018-19,H. A. Hyde Elementary,Public,Watsonville,Santa Cruz,,105.0,98.0,93.0,,,
623,New Jersey,,The Goddard (Sicklerville location),,,Camden,,11.0,-1.0,100.0,,,
1012,Colorado,2017-18,Abrams Elementary,Kindergarten,,El Paso,Fountain 8,148.0,91.22,87.84,,0.68,2.7
6213,California,2018-19,Monterey Bay Charter,Public,Pacific Grove,Monterey,,70.0,87.0,86.0,,10.0,
696,Virginia,2018-19,Navy Elementary,,,Fairfax,Fairfax,99.0,-1.0,96.0,1.01,1.01,
314,New Jersey,,Larchmont,,,Burlington,,78.0,-1.0,100.0,,,
257,Vermont,2018-19,Saxtons River Elementary,,,Windham,,93.0,93.5483871,93.5483871,,,
2671,California,2018-19,Morningside Elementary,Public,Garden Grove,Orange,,77.0,98.0,98.0,,2.0,
1322,Illinois,2018-19,Washington Elementary,,Schiller Park,Cook,,310.0,98.70967742,-1.0,0.97,,
128,Vermont,2018-19,Saint Johnsbury Academy,,,Caledonia,,977.0,97.95291709,94.88229273,,,
77,New Jersey,,Camden Forward,,,Camden,,12.0,-1.0,100.0,,,
3265,New York,2017-18,King's Way Academy,Private,Painted Post,Steuben,,,89.5,-1.0,7.89,,
148,Washington,,Vale Elementary,,Cashmere,Chelan,,,100.0,96.49,,0.88,1.75
621,Oregon,2018-19,Reynolds Arthur Academy,,,Multnomah,,28.0,90.86294416,87.81725888,,,7.614213198
1032,Massachusetts,2018-19,Hoosac Valley Elementary,Public,Adams,Berkshire,,,-1.0,-1.0,,,
2556,California,2018-19,Martha Baldwin Elementary,Public,Alhambra,Los Angeles,,96.0,98.0,96.0,,,
2177,California,2018-19,Jackson Elementary,Public,Sanger,Fresno,,76.0,98.0,98.0,,2.0,
2274,New York,2017-18,Deauville Gardens West Elementary,Public,Copiague,Suffolk,,,98.4,-1.0,0.81,,
2217,Florida,2018-19,Florida Cyber Charter Academy,,,,Duval,32.0,-1.0,46.88,,,
3060,New York,2017-18,Elmwood Village Charter School - Hertel,Private,Buffalo,Erie,,,94.6,-1.0,3.36,,
61,Washington,,Jewish Day,,Bellevue,King,,,100.0,100.0,,,
4261,California,2018-19,Orion Alternative,Public,Redwood City,San Mateo,,56.0,96.0,96.0,,,
875,New Jersey,,Freedom Prep Charter,,,Camden,,63.0,-1.0,98.4,1.6,,
108,Florida,2018-19,The Quest Center,,,,Broward,1.0,-1.0,100.0,,,
654,Texas,2018-19,Plainview Christian Acad,,,Hale,,,84.21,-1.0,,,
1087,California,2018-19,Valley View Community Elementary,Public,Newhall,Los Angeles,,100.0,99.0,99.0,,1.0,
6648,California,2018-19,Blind Childrens Learning Center,Private,Santa Ana,Orange,,3.0,-1.0,-1.0,,,
321,New York,2017-18,Little Flower Prep,Private,Brooklyn,Kings,,,100.0,-1.0,,,
137,Illinois,2018-19,Grigsby Intermediate Sch,,Granite City,Madison,,944.0,100.0,-1.0,,,
1662,Michigan,2018-19,Assumption Blessed Virgin Mary,,,Kent,Rockford Public Schools,22.0,-1.0,86.4,,13.6,
26,Rhode Island,2018-19,Cornerstone,,Cranston,,,,-1.0,-1.0,,,
1686,Florida,2018-19,Village Green Elementary,,,,Dade,34.0,-1.0,91.18,2.941176471,5.882352941,
809,Michigan,2018-19,South Canton Scholars Charter Academy,,,Wayne,South Canton Scholars Charter Academy,88.0,-1.0,94.3,,3.4,
690,Wisconsin,2018-19,Riverview Elementary,,Wautoma,Waushara,,,-1.0,90.0,5.0,,5.0
2839,New York,2017-18,Reinhard Early Chldhd Ctr,Public,Bellmore,Nassau,,,96.7,-1.0,1.27,0.76,
365,North Carolina,2018-19,Harold D Isenberg Elementary,,,Rowan,,59.0,-1.0,100.0,1.7,,
1672,California,2018-19,Dayton Elementary,Public,San Leandro,Alameda,,89.0,98.0,97.0,,,
276,New York,2017-18,Inlet Elementary,Public,Inlet,Hamilton,,,100.0,-1.0,,,
6402,California,2018-19,Uncharted Shores Academy,Public,Crescent City,Del Norte,,32.0,75.0,63.0,,9.0,
549,Iowa,2018-19,Bergman Academy,,,Polk,,252.0,-1.0,95.6,,,
1702,New Jersey,,William Mason,,,Morris,,22.0,-1.0,90.9,4.6,,
273,Pennsylvania,2017,Park Elementary,,Columbia,,,112.0,100.0,-1.0,,,
139,Texas,2018-19,Presbyterian,,,Harris,,,100.0,-1.0,,,
71,Maine,2018-19,St. Johns Catholic,,,Cumberland,,14.0,100.0,-1.0,,,
790,Massachusetts,2018-19,Eliot Elementary,Public,Boston,Suffolk,,,88.0,-1.0,,1.3,
960,New Jersey,,Howard Emmons Elementary,,,Burlington,,99.0,-1.0,98.0,2.0,,
516,Connecticut,2017-18,Killingly Central,Public,Killingly,Windham,,,90.67,-1.0,6.22,2.59,
458,North Carolina,2018-19,L & L Montessori,,,Brunswick,,4.0,-1.0,100.0,,,
3015,California,2018-19,Riverview Stem Elementary,Public,Rancho Cordova,Sacramento,,60.0,98.0,98.0,,2.0,
1751,Michigan,2018-19,St Mary,,,Eaton,Charlotte Public Schools,18.0,-1.0,83.3,,11.1,
2523,Illinois,2018-19,Fairfield Elementary Academy,,Chicago,Cook,,571.0,97.02276708,-1.0,,0.53,
175,Colorado,2017-18,Galeton Elementary,Kindergarten,,Weld,Jefferson County R-1,19.0,100.0,100.0,,,
15,Tennessee,2018-19,Bolivar Elementary,,,Hardeman ,,100.0,-1.0,100.0,,,
208,Michigan,2018-19,Lakewood,,,Ottawa,West Ottawa Public School District,58.0,-1.0,98.3,,,
5123,California,2018-19,Peppermint Junction,Private,Oxnard,Ventura,,37.0,95.0,95.0,,5.0,
2768,New York,2017-18,Town Of Webb,Public,Old Forge,Herkimer,,,97.1,-1.0,2.9,0.83,
776,Iowa,2018-19,Cedar Rapids Comm School District,,,Linn,,334.0,-1.0,75.1,,,
1410,New Jersey,,Central Elementary,,,Somerset,,83.0,-1.0,95.2,1.8,1.8,
32,New York,2017-18,Ausable Forks Primary,Public,Ausable Forks,Clinton,,,100.0,-1.0,0.44,,
1840,California,2018-19,Fallbrook Stem Academy,Public,Fallbrook,San Diego,,77.0,98.0,96.0,,,
869,New Jersey,,Benjamin Franklin 13,,,Union,,64.0,-1.0,98.4,,1.6,
734,Texas,2018-19,Wayside Schools,,,Travis,,,72.28,-1.0,,,
1680,North Carolina,2018-19,Northwest Elementary,,,Wayne,,109.0,-1.0,82.6,,,
2199,California,2018-19,Jefferson Elementary,Public,Clovis,Fresno,,82.0,98.0,98.0,,2.0,
7760,California,2018-19,St. Anthony,Private,El Segundo,Los Angeles,,,-1.0,-1.0,,,
117,Maine,2018-19,Martel Elementary,,,Androscoggin,,33.0,96.97,-1.0,,,3.03
123,Michigan,2018-19,St Paul Lutheran,,,Saginaw,Saginaw City School District,13.0,-1.0,100.0,,,
3273,New York,2017-18,The Nurturing Center,Private,Queens Village,Queens,,,89.3,-1.0,,,
6843,California,2018-19,Danbury Special Education,Public,Claremont,Los Angeles,,5.0,-1.0,-1.0,,,
1143,New Jersey,,Dr. Albert Einstein Academy 29,,,Union,,70.0,-1.0,97.1,1.4,1.4,
2454,California,2018-19,Longley Way Elementary,Public,Arcadia,Los Angeles,,71.0,98.0,97.0,,,
1280,New Jersey,,The Village,,,Bergen,,27.0,-1.0,96.3,3.7,,
696,New York,2017-18,The Ridge,Private,Hyde Park,Dutchess,,,100.0,-1.0,,,
1427,North Carolina,2018-19,Northside Christian Academy,,,Mecklenburg,,25.0,-1.0,96.0,4.0,,
2140,Florida,2018-19,Kids Community College Riverview South,,,,Hillsborough,65.0,-1.0,80.0,4.615384615,,
156,New York,2017-18,Dutchess Boces Career & Technical Institute @ Salt Point Campus,BOCES,Poughkeepsie,Dutchess,,,100.0,-1.0,,,
468,Massachusetts,2018-19,Forestdale Elementary,Public,Forestdale,Barnstable,,,98.0,-1.0,,2.7,
1084,Wisconsin,2018-19,Our Redeemer Lutheran,,Delavan,Walworth,,,-1.0,82.0,5.0,,6.0
460,Tennessee,2018-19,Meigs North Elementary,,,Meigs ,,76.0,-1.0,96.1,2.6,,
4140,California,2018-19,De Anza Magnet,Public,El Centro,Imperial,,50.0,96.0,96.0,,,
1434,Michigan,2018-19,St. Fabian Catholic,,,Oakland,Farmington Public School District,10.0,-1.0,90.0,,10.0,
841,Massachusetts,2018-19,Amego,Private,Attleboro,Bristol,,,-1.0,-1.0,,,
508,Montana,2017-18,Kester,,,Garfield,,,-1.0,-1.0,,,
3403,Illinois,2018-19,Harvest Christian Academy,,Elgin,Kane,,627.0,90.59011164,-1.0,9.09,0.16,
348,Tennessee,2018-19,The Discovery School ,,,Dickson ,,34.0,-1.0,97.1,2.9,,
2241,New York,2017-18,Saw Mill Road,Public,North Bellmore,Nassau,,,98.5,-1.0,0.79,0.4,
23,New York,2017-18,Annsville Area,Public,Taberg,Oneida,,,100.0,-1.0,,,
765,Texas,2018-19,Bethany Christian,,,Collin,,,57.14,-1.0,,,
38,North Dakota,2017-18,Martin Luther,,Bismarck,Burleigh,,11.0,100.0,-1.0,,,
167,Idaho,2018-19,Genesee Schools,,Genesee,Latah,Genesee,,-1.0,90.0,5.0,,
504,Texas,2018-19,Brooks Academy Of Science And Engineerin,,,Bexar,,,94.02,-1.0,,,
1267,Virginia,2018-19,Harding Avenue Elementary,,,Montgomery,New River,55.0,-1.0,85.5,,1.82,
6827,California,2018-19,Crane Country Day,Private,Santa Barbara,Santa Barbara,,15.0,-1.0,-1.0,,,
4107,California,2018-19,Blythe Street Elementary,Public,Reseda,Los Angeles,,83.0,96.0,94.0,,2.0,
203,Oregon,2018-19,North Plains Elementary,,,Washington,,63.0,97.08222812,95.22546419,,,0.795755968
217,Massachusetts,2018-19,Norrback Avenue,Public,Worcester,Worcester,,,100.0,-1.0,,,
149,Tennessee,2018-19,West Cheatham Elementary,,,Cheatham ,,66.0,-1.0,100.0,,,
1283,Wisconsin,2018-19,Saint Lucas Lutheran,,Milwaukee,Milwaukee,,,-1.0,73.0,5.0,,23.0
1365,Michigan,2018-19,Saranac Elementary,,,Ionia,Saranac Community Schools,85.0,-1.0,90.6,,4.7,
780,Illinois,2018-19,Our Lady of Grace Academy,,East Moline,Rock Island,,150.0,99.33333333,-1.0,,0.67,
723,Colorado,2017-18,Birch Elementary,Kindergarten,,Boulder,Pueblo County 70,69.0,97.1,94.2,,,2.9
2757,Illinois,2018-19,Komensky Elementary,,Berwyn,Cook,,394.0,96.44670051,-1.0,0.25,,
58,Wisconsin,2018-19,Edgerton Elementary,,Hales Corners,Milwaukee,,,-1.0,95.0,5.0,,5.0
730,Wisconsin,2018-19,Cameron Elementary,,Cameron,Barron,,,-1.0,89.0,5.0,,9.0
483,New Jersey,,Princeton Day,,,Mercer,,31.0,-1.0,100.0,,,
807,Iowa,2018-19,Clyde D Mease Elementary,,,Humboldt,,85.0,-1.0,-1.0,,,
1386,Florida,2018-19,Pineapple Cove Classical Academy,,,,Brevard,57.0,-1.0,92.98,7.01754386,,
2005,Illinois,2018-19,Grande Park Elementary,,Plainfield,Kendall,,568.0,97.88732394,-1.0,2.11,,
184,North Dakota,2017-18,Ps Berg Elementary,,Dickinson,Stark,,50.0,92.0,-1.0,,,2.0
5220,California,2018-19,Sacred Heart,Private,Salinas,Monterey,,34.0,95.0,95.0,,5.0,
231,Missouri,2018-19,Academy At St. Sabina,,Florissant,,,,95.0,-1.0,,,
547,Utah,2017-18,Renaissance Academy,Public,Lehi,Utah,,665.0,90.68,-1.0,,,9.02
7097,California,2018-19,Holy Family,Private,Citrus Heights,Sacramento,,8.0,-1.0,-1.0,,,
527,Utah,2017-18,Castle Valley Center-Special,Public,Price,Carbon,,37.0,91.89,-1.0,,,8.11
912,Ohio,2018-19,Robinson Elementary,Public,Toledo,Lucas,,21.0,95.24,95.24,,4.76,
265,Colorado,2017-18,Kenneth P Morris Elementary,Kindergarten,,Yuma,Ignacio 11 JT,63.0,100.0,95.24,,3.17,
720,Iowa,2018-19,Seymour Elementary,,,Wayne,,156.0,-1.0,91.7,,,
721,Ohio,2018-19,Mark Twain Elementary,Public,Miamisburg,Montgomery,,55.0,96.36,92.73,,1.82,
81,Tennessee,2018-19,Lobelville Elementary,,,Perry ,,27.0,-1.0,100.0,,,
1637,Ohio,2018-19,Genoa Christian Academy,Private,Westerville,Delaware,,32.0,84.38,71.88,,6.25,
1776,Florida,2018-19,Campbell Drive K-8 Center,,,,Dade,104.0,-1.0,90.38,,5.769230769,
800,Virginia,2018-19,Rolling Ridge Elementary,,,Loudoun,Loudoun,123.0,-1.0,95.1,,0.81,
1455,Ohio,2018-19,Westview Elementary,Public,Avon Lake,Lorain,,38.0,89.47,89.47,,2.63,
472,Colorado,2017-18,Sierra Vista Elementary,Kindergarten,,Pueblo,Westminster Public Schools,79.0,100.0,92.41,,,2.53
155,Illinois,2018-19,Hillside Montessori,,Hillside,Cook,,57.0,100.0,-1.0,,,
189,New Jersey,,"First Friends, Inc.",,,Middlesex,,10.0,-1.0,100.0,,,
1973,New York,2017-18,Manor Intermediate,Public,Honeoye Falls,Monroe,,,98.8,-1.0,0.66,,
1371,Massachusetts,2018-19,Winship,Public,Brighton,Suffolk,,,-1.0,-1.0,,,
221,Utah,2017-18,Mcgillis,Private,Salt Lake City,Salt Lake,,285.0,97.19,-1.0,,0.7,2.11
685,North Carolina,2018-19,Resurrection Lutheran,,,Wake,,10.0,-1.0,100.0,,,
362,Idaho,2018-19,Sagle Elementary,,Sagle,Bonner,Lake Pend Oreille,,-1.0,76.92307692,12.82051282,,
3949,California,2018-19,Princeton Street Elementary,Public,Delano,Kern,,77.0,97.0,97.0,,,
847,Wisconsin,2018-19,Rose Glen Elementary,,Waukesha,Waukesha,,,-1.0,88.0,5.0,,12.0
2025,Illinois,2018-19,Dillon Elementary,,Rock Falls,Whiteside,,281.0,97.86476868,-1.0,1.78,,
1467,Pennsylvania,2017,Oklahoma Elementary,,DuBois,,,44.0,93.2,-1.0,,,
229,Tennessee,2018-19,Dyersburg Primary ,,,Dyer ,,226.0,-1.0,98.2,,0.9,
178,Minnesota,2017-18,Hoover Elementary,,,Anoka,,81.0,98.77,-1.0,,,1.23
1247,Wisconsin,2018-19,Hadfield Elementary,,Waukesha,Waukesha,,,-1.0,75.0,5.0,,15.0
1771,Illinois,2018-19,Indian Trail Elementary,,Highland Park,Lake,,441.0,98.18594104,-1.0,0.45,0.91,
1357,Michigan,2018-19,Alto Elementary,,,Kent,Lowell Area Schools,64.0,-1.0,90.6,,7.8,
330,Oregon,2018-19,Applegate Elementary,,,Lane,,16.0,95.90163934,93.44262295,,,2.459016393
3403,California,2018-19,Valencia Academy Of The Arts,Public,Pico Rivera,Los Angeles,,71.0,98.0,98.0,,2.0,
96,New York,2017-18,Cental Valley Academy,Public,Ilion,Herkimer,,,100.0,-1.0,,0.15,
40,Missouri,2018-19,Sacred Heart Schl-Valley Park,,Valley Park,,,,99.0,-1.0,,,
2285,California,2018-19,Kennedy Elementary,Public,Stockton,San Joaquin,,83.0,98.0,98.0,,2.0,
349,New Jersey,,Malcolm S. Mackay,,,Bergen,,59.0,-1.0,100.0,,,
98,Maine,2018-19,Warren Community,,,Knox,,40.0,97.5,-1.0,,,2.5
99,Iowa,2018-19,Capitol View Elementary,,,Polk,,514.0,-1.0,98.8,,,
7855,California,2018-19,Stanislaus Academy,Private,Turlock,Stanislaus,,,-1.0,-1.0,,,
1431,Wisconsin,2018-19,Believers Institute,,Milwaukee,Milwaukee,,,-1.0,-1.0,,,
62,Minnesota,2017-18,Karlstad Elementary,,,Kittson,,14.0,100.0,-1.0,,,
392,Virginia,2018-19,Abingdon Elementary,,,Washington,Mount Rogers,71.0,-1.0,98.6,,,
1021,North Carolina,2018-19,Union Elementary,,,Brunswick,,100.0,-1.0,99.0,2.0,,
1431,North Carolina,2018-19,Central Elementary,,,Stanly,,98.0,-1.0,95.9,,,
2714,New York,2017-18,Yeshiva Imrei Yosef Spinka,Private,Brooklyn,Kings,,,97.4,-1.0,4.41,0.44,
2947,New York,2017-18,Ps 91 B.U.I.L.D. Academy,Public,Buffalo,Erie,,,95.9,-1.0,0.26,,
132,Rhode Island,2018-19,St. Thomas Regional,,Providence,,,22.0,-1.0,100.0,,,
163,Florida,2018-19,Lake Panasoffkee Elementary,,,,Sumter,86.0,-1.0,98.84,,,
1377,Florida,2018-19,Parkway Elementary,,,,Dade,43.0,-1.0,93.02,,,
8,Rhode Island,2018-19,Colt Andrews,,Bristol,,,52.0,-1.0,100.0,,,
2279,New York,2017-18,Greater New York Academy,Private,Woodside,Queens,,,98.4,-1.0,1.63,,
3623,California,2018-19,Yulupa Elementary,Public,Santa Rosa,Sonoma,,186.0,98.0,97.0,,1.0,
521,Montana,2017-18,Malmborg,,,Gallatin,,,-1.0,-1.0,,,
500,Oregon,2018-19,Happy Valley Elementary,,,Clackamas,,81.0,94.05286344,91.85022026,,0.220264317,3.744493392
1492,California,2018-19,Carolyn A. Clark Elementary,Public,San Jose,Santa Clara,,75.0,98.0,98.0,,2.0,
5381,California,2018-19,St. James Episcopal,Private,Los Angeles,Los Angeles,,47.0,95.0,95.0,,5.0,
1888,California,2018-19,Franklin Elementary,Public,Elk Grove,Sacramento,,95.0,98.0,98.0,,2.0,
357,Oregon,2018-19,Colonel Wright Elementary,,,Wasco,,49.0,95.63862928,94.70404984,,,2.492211838
440,Oklahoma,,Lindsay Elementary,,Lindsay,Garvin,,,-1.0,93.0,,3.0,
1650,New Jersey,,Holy Trinity Regional,,,Gloucester,,12.0,-1.0,91.7,,,
363,Missouri,2018-19,Our Savior Lutheran,,Fenton,,,,85.7,-1.0,,,
1833,Florida,2018-19,Shore Acres Elementary,,,,Pinellas,89.0,-1.0,89.89,6.741573034,,
1255,Florida,2018-19,Southside Primary,,,,Okaloosa,48.0,-1.0,93.75,6.25,,
2623,California,2018-19,Miramonte Elementary,Public,Clovis,Fresno,,86.0,98.0,95.0,,,
1659,Ohio,2018-19,Three Rivers Elementary,Public,Cleves,Hamilton,,156.0,83.97,80.77,,,
2337,California,2018-19,Lake Street Primary,Public,Los Angeles,Los Angeles,,89.0,98.0,98.0,,2.0,
3546,California,2018-19,Whittier Elementary,Public,Costa Mesa,Orange,,91.0,98.0,98.0,,2.0,
281,Vermont,2018-19,Kindle Farm,,,Windham,,48.0,91.66666667,79.16666667,,,
844,Virginia,2018-19,Rocky Run Elem,,,Stafford,Rappahannock,131.0,-1.0,94.7,3.05,,
2776,California,2018-19,Oceano Elementary,Public,Oceano,San Luis Obispo,,68.0,98.0,98.0,,2.0,
421,Utah,2017-18,Delta North Elementary,Public,Delta,Millard,,430.0,94.88,-1.0,,,5.12
2959,California,2018-19,Raymond Elementary,Public,Fullerton,Orange,,122.0,98.0,97.0,,,
127,Connecticut,2017-18,S. B. Butler,Public,Groton,New London,,,100.0,-1.0,,,
558,North Carolina,2018-19,Naturally Grown,,,Henderson,,4.0,-1.0,100.0,50.0,,
1535,Michigan,2018-19,Deerfield Elementary,,,Oakland,Avondale School District,53.0,-1.0,88.7,,9.4,
3945,California,2018-19,Pomerado Elementary,Public,Poway,San Diego,,88.0,97.0,97.0,,,
3853,California,2018-19,Lawless Elementary,Public,Fresno,Fresno,,105.0,97.0,93.0,,2.0,
6956,California,2018-19,Foothill Progressive Montessori Schools,Private,La Canada,Los Angeles,,16.0,-1.0,-1.0,,,
1024,Wisconsin,2018-19,Schulte Elementary,,Sturtevant,Racine,,,-1.0,84.0,5.0,,5.0
1127,Michigan,2018-19,Eberwhite Elementary,,,Washtenaw,Ann Arbor Public Schools,66.0,-1.0,92.4,,4.5,
292,Illinois,2018-19,Providence Catholic Chldrns Acad,,New Lenox,Will,,90.0,100.0,-1.0,,,
471,Virginia,2018-19,Jackson Davis Elementary,,,Henrico,Henrico,97.0,-1.0,97.9,1.03,,
1680,Illinois,2018-19,Lara Elementary Academy,,Chicago,Cook,,410.0,98.29268293,-1.0,0.24,,
432,Utah,2017-18,Bluffdale Elementary,Public,Bluffdale,Salt Lake,,1179.0,94.66,-1.0,,0.08,4.83
994,Virginia,2018-19,Maybeury Elementary,,,Henrico,Henrico,101.0,-1.0,93.1,0.99,1.98,
2537,California,2018-19,Margaret Sheehy Elementary,Public,Merced,Merced,,80.0,98.0,95.0,,,
13,Missouri,2018-19,Christian Brothers College Hig,,St. Louis,,,,99.0,-1.0,,,
3280,Illinois,2018-19,St Johns Lutheran,,Lombard,Dupage,,268.0,93.28358209,-1.0,2.61,,
3205,New York,2017-18,Hudson Hills Academy,Private,Newburgh,Orange,,,91.5,-1.0,8.47,,
1101,Florida,2018-19,Manatee School Of Arts/Sciences,,,,Manatee,18.0,-1.0,94.44,5.555555556,,
349,Massachusetts,2018-19,Florence Roche,Public,Groton,Middlesex,,,99.0,-1.0,,1.0,
6138,California,2018-19,Baymonte Christian,Private,Scotts Valley,Santa Cruz,,37.0,89.0,81.0,,5.0,
1789,New Jersey,,Clinton Public,,,Hunterdon,,32.0,-1.0,87.5,12.5,,
1334,Wisconsin,2018-19,Bayfield Elementary,,Bayfield,Bayfield,,,-1.0,66.0,5.0,,5.0
1146,New York,2017-18,Schroon Lake Central,Public,Schroon Lake,Essex,,,99.6,-1.0,0.86,0.43,
1172,New Jersey,,Gillette Elementary,,,Morris,,100.0,-1.0,97.0,3.0,,
756,Wisconsin,2018-19,Lawrence-Lawson Elementary,,Sparta,Monroe,,,-1.0,89.0,5.0,,5.0
207,Montana,2017-18,Jefferson,,,Lewis and Clark,,273.0,97.44,-1.0,,0.366300366,
45,Utah,2017-18,Rolling Meadows Elementary,Public,Salt Lake City,Salt Lake,,604.0,99.5,-1.0,,0.5,
1209,Illinois,2018-19,Arthur Froberg Elementary,,Rockford,Winnebago,,426.0,98.82629108,-1.0,0.7,0.47,
338,South Dakota,2017-18,Aberdeen Christian Elementary,,,Brown,,14.0,78.57,-1.0,,,
230,Minnesota,2017-18,Crest View Elementary,,,Hennepin,,50.0,98.0,-1.0,,,2.0
534,Arizona,2018-19,Oak Tree Elementary,Public,Gilbert,Maricopa,,60.0,95.0,-1.0,,,11.67
1164,North Carolina,2018-19,Union Elementary,,,Cleveland,,59.0,-1.0,98.3,,,
6332,California,2018-19,Ilead Lancaster Charter,Public,Lancaster,Los Angeles,,80.0,81.0,81.0,,,
1236,New York,2017-18,Minisink Valley Elementary,Public,Middletown,Orange,,,99.5,-1.0,0.45,,
1712,Ohio,2018-19,Ecole Kenwood French Immersion,Public,Columbus,Franklin,,75.0,81.33,74.67,,14.67,
1197,Virginia,2018-19,R.C. Longan Elementary,,,Henrico,Henrico,84.0,-1.0,88.1,,1.19,
9,Colorado,2017-18,Ambleside,Kindergarten,,Arapahoe,Adams-Arapahoe 28J,16.0,100.0,93.75,,,6.25
267,New York,2017-18,Ideal Montessori,Private,Jamaica,Queens,,,100.0,-1.0,,,
323,Arkansas,2018-19,Mary Mae Jones Elem.,,Bentonville,,,838.0,78.16229,-1.0,,,
1162,Minnesota,2017-18,Heritage Christian,,,Kittson,,,-1.0,-1.0,,,
527,Colorado,2017-18,Tenderfoot Child & Family Dvlpmnt Ctr,Kindergarten,,Gunnison,Greeley 6,31.0,100.0,90.32,,,3.23
83,South Dakota,2017-18,Jefferson Elementary,,,Codington,,67.0,100.0,-1.0,,,
149,North Carolina,2018-19,Chapel Grove Elementary,,,Gaston,,71.0,-1.0,100.0,,,
1084,Pennsylvania,2017,Logan Elementary,,North Versailles,,,150.0,96.7,-1.0,,,
400,Connecticut,2017-18,Wilcoxson,Public,Stratford,Fairfield,,,96.23,-1.0,3.77,,
327,Arizona,2018-19,Math And Science Success Academy,Charter,Tucson,Pima,,73.0,97.26,-1.0,,,
882,Wisconsin,2018-19,Hillcrest Elementary,,Oneida,Brown,,,-1.0,87.0,5.0,,5.0
62,Washington,,Journey,,Lynnwood,Snohomish,,,100.0,100.0,,,
618,Florida,2018-19,Riverside Elementary,,,,Broward,109.0,-1.0,96.33,3.669724771,,
801,Virginia,2018-19,Sudley Elementary,,,Prince William,Prince William,103.0,-1.0,95.1,,,
411,New Jersey,,North Jersey Elks Development Disabilities Agency,,,Passaic,,5.0,-1.0,100.0,,,
1076,Arizona,2018-19,Accel - East Campus,Private,Tempe,Maricopa,,,-1.0,-1.0,,,
1073,Wisconsin,2018-19,Grace Lutheran,,Oshkosh,Winnebago,,,-1.0,82.0,5.0,,18.0
2384,New York,2017-18,Gardner Road Elementary,Public,Horseheads,Chemung,,,98.2,-1.0,1.83,,
179,Tennessee,2018-19,W G Rhea Elementary ,,,Henry ,,176.0,-1.0,98.9,,,
754,Oklahoma,,Moseley,,Colcord,Delaware,,,-1.0,70.0,,,
64,Montana,2017-18,Poplar Schools Prek-12,,,Roosevelt,,930.0,99.68,-1.0,,,
235,Vermont,2018-19,Underhill Central Elementary,,,Chittenden,,97.0,94.84536082,92.78350515,,,
957,Florida,2018-19,Treeline Elementary,,,,Lee,160.0,-1.0,95.0,3.125,1.25,
353,Iowa,2018-19,A-H-S-T-W Elementary,,,Pottawattamie,,355.0,-1.0,97.2,,,
372,Illinois,2018-19,St Mary,,Elgin,Kane,,155.0,100.0,-1.0,,,
1477,Ohio,2018-19,Highland Elementary,Public,Stow,Summit,,63.0,88.89,84.13,,1.59,
7624,California,2018-19,Rise Montessori,Private,Canoga Park,Los Angeles,,2.0,-1.0,-1.0,,,
1139,Virginia,2018-19,Martin Luther King Jr Elementary,,,Prince William,Prince William,74.0,-1.0,90.5,1.35,,
213,Maine,2018-19,Cumberland County Totals,,,Cumberland,,2854.0,93.59,-1.0,0.14,1.37,4.2
7515,California,2018-19,Outside Creek Elementary,Public,Visalia,Tulare,,17.0,-1.0,-1.0,,,
5957,California,2018-19,Lupin Hill Elementary,Public,Calabasas,Los Angeles,,103.0,92.0,86.0,,3.0,
2076,California,2018-19,Henderson Elementary,Public,Barstow,San Bernardino,,97.0,98.0,98.0,,2.0,
64,Wisconsin,2018-19,Ettrick Elementary,,Ettrick,Trempealeau,,,-1.0,95.0,5.0,,5.0
400,Washington,,Delong Elementary,,Tacoma,Pierce,,,95.52,94.03,,,2.99
1224,Ohio,2018-19,Tri-County North Elementary,Public,Lewisburg,Preble,,54.0,92.59,92.59,,7.41,
929,North Carolina,2018-19,Weldon Elementary Global Academy,,,Halifax,,48.0,-1.0,100.0,,,
995,Tennessee,2018-19,Corning Achievement Elementary ,,,Shelby ,,25.0,-1.0,80.0,,,
1034,North Carolina,2018-19,George C Simkins Jr Elementary,,,Guilford,,95.0,-1.0,98.9,1.1,,
644,Ohio,2018-19,Northwood Elementary,Public,Northwood,Wood,,62.0,96.77,96.77,,1.61,
2022,California,2018-19,Grunsky Elementary,Public,Stockton,San Joaquin,,51.0,98.0,96.0,,,
2174,Florida,2018-19,New Springs Schools,,,,Hillsborough,43.0,-1.0,72.09,2.325581395,,
2618,California,2018-19,Millbrook Elementary,Public,San Jose,Santa Clara,,68.0,98.0,98.0,,2.0,
1101,California,2018-19,Veterans Elementary,Public,Bakersfield,Kern,,146.0,99.0,98.0,,1.0,
1393,Wisconsin,2018-19,Grant Elementary,,Kenosha,Kenosha,,,-1.0,47.0,5.0,,5.0
829,Colorado,2017-18,Colorado Academy,Kindergarten,,Jefferson,Douglas County RE 1,41.0,95.12,95.12,,,
1659,New York,2017-18,Hancock Elementary,Public,Hancock,Delaware,,,99.1,-1.0,0.89,,
3407,California,2018-19,Valencia Park Elementary,Public,Fullerton,Orange,,61.0,98.0,98.0,,2.0,
1272,New Jersey,,Laura Donovan,,,Monmouth,,54.0,-1.0,96.3,3.7,,
43,New Jersey,,Bancroft Early Education Program,,,Camden,,5.0,-1.0,100.0,,,
